"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"e:\Instagram Clone\Eimentum\src\Search\Searchuser\Container.module.css", "CSS", 0, 0, 0, 0, 96, 0, 0, 9, 8, 113
"e:\Instagram Clone\Eimentum\src\Search\Searchuser\ShowPost.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Instagram Clone\Eimentum\src\Search\Searchuser\User.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 0, 11, 222
"e:\Instagram Clone\Eimentum\src\Search\Searchuser\User.module.css", "CSS", 0, 0, 0, 0, 272, 0, 0, 6, 5, 283
"e:\Instagram Clone\Eimentum\src\Sign in\Signin.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 6, 119
"e:\Instagram Clone\Eimentum\src\Sign in\signin.module.css", "CSS", 0, 0, 0, 0, 114, 0, 0, 1, 5, 120
"e:\Instagram Clone\Eimentum\src\Sign up\Signup.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 3, 13, 211
"e:\Instagram Clone\Eimentum\src\Sign up\signup.module.css", "CSS", 0, 0, 0, 0, 166, 0, 0, 10, 7, 183
"e:\Instagram Clone\Eimentum\src\components\suggestionlist\SuggestionList.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 9, 143
"e:\Instagram Clone\Eimentum\src\components\suggestionlist\SuggestionList.module.css", "CSS", 0, 0, 0, 0, 136, 0, 0, 14, 10, 160
"e:\Instagram Clone\Eimentum\src\index.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"e:\Instagram Clone\Eimentum\src\methods\addcomments.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\Instagram Clone\Eimentum\src\methods\addconversation.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"e:\Instagram Clone\Eimentum\src\methods\addmessage.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 3, 15
"e:\Instagram Clone\Eimentum\src\methods\createcrop.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 2, 11, 45
"e:\Instagram Clone\Eimentum\src\methods\data_URL_to_file.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\Instagram Clone\Eimentum\src\methods\deletePost.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Instagram Clone\Eimentum\src\methods\deleteconversation.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"e:\Instagram Clone\Eimentum\src\methods\deletelike.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\Instagram Clone\Eimentum\src\methods\getSessionStorageOrDefault.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Instagram Clone\Eimentum\src\methods\getSuggestion.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"e:\Instagram Clone\Eimentum\src\methods\getallposts.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 2, 19
"e:\Instagram Clone\Eimentum\src\methods\getconversations.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Instagram Clone\Eimentum\src\methods\getcount.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"e:\Instagram Clone\Eimentum\src\methods\getfollowers.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
